model_id,model_type,params,split,feature,score,rank
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_82,0.0,1
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_81,0.0,2
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_80,0.0,3
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_79,0.0,4
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_78,0.0,5
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_77,0.0,6
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_76,0.0,7
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_75,0.0,8
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_74,0.0,9
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",1,year_73,0.0,10
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_82,0.0,1
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_81,0.0,2
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_80,0.0,3
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_79,0.0,4
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_78,0.0,5
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_77,0.0,6
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_76,0.0,7
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_75,0.0,8
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_74,0.0,9
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",2,year_73,0.0,10
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_82,0.0,1
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_81,0.0,2
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_80,0.0,3
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_79,0.0,4
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_78,0.0,5
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_77,0.0,6
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_76,0.0,7
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_75,0.0,8
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_74,0.0,9
LR_paramset-1,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l1'}",3,year_73,0.0,10
LR_paramset-2,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l2'}",1,acceleration,0.00260676086456,1
LR_paramset-2,LR,"{'C': 1e-05, 'random_state': 1, 'penalty': 'l2'}",1,weight,0.000870152018557,2
